"imdb_id","genre_id"
"tt0069704",6
"tt0069704",9
"tt0120586",7
"tt0120586",9
"tt1800241",7
"tt1800241",9
"tt0022626",9
"tt0244000",1
"tt0244000",28
"tt0163651",6
"tt0163651",22
"tt0112346",6
"tt0112346",9
"tt0112346",22
"tt0144084",9
"tt0305206",5
"tt0305206",6
"tt0305206",9
"tt0082010",6
"tt0082010",15
"tt1440728",7
"tt1440728",9
"tt1440728",26
"tt2216212",15
"tt1602620",9
"tt1602620",22
"tt1174732",9
"tt0289848",6
"tt0289848",7
"tt0122933",6
"tt0122933",7
"tt0118617",4
"tt0118617",3
"tt0118617",9
"tt0225071",9
"tt0225071",22
"tt0808151",18
"tt0808151",26
"tt1781769",9
"tt1781769",22
"tt0075686",6
"tt0075686",22
"tt0254099",6
"tt0254099",9
"tt0254099",22
"tt1521197",9
"tt1521197",14
"tt1521197",26
"tt0218817",1
"tt0218817",7
"tt0218817",9
"tt0120587",4
"tt0120587",3
"tt0120587",6
"tt0053604",6
"tt0053604",9
"tt0053604",22
"tt2617714",9
"tt2617714",27
"tt0112384",3
"tt0112384",9
"tt0090655",15
"tt0090655",18
"tt0118636",9
"tt0118636",22
"tt0118636",26
"tt1764183",9
"tt1764183",26
"tt0106302",15
"tt0106302",23
"tt0106303",1
"tt0106303",26
"tt1024648",5
"tt1024648",9
"tt1024648",14
"tt0120591",1
"tt0120591",3
"tt0120591",23
"tt0106308",6
"tt0106308",11
"tt0106308",15
"tt0036613",6
"tt0036613",7
"tt0036613",26
"tt1334512",6
"tt1334512",22
"tt1655442",6
"tt1655442",9
"tt1655442",22
"tt0119822",6
"tt0119822",9
"tt0119822",22
"tt0112401",1
"tt0112401",7
"tt0112401",26
"tt0118647",1
"tt0118647",7
"tt0118647",26
"tt0132512",9
"tt0132512",22
"tt1322269",9
"tt0118655",6
"tt0145660",1
"tt0145660",3
"tt0145660",6
"tt2114461",6
"tt0174480",9
"tt0499549",1
"tt0499549",3
"tt0499549",11
"tt0848228",1
"tt0848228",23
"tt0848228",26
"tt0099077",5
"tt0099077",9
"tt0449467",9
"tt0086927",6
"tt0050156",9
"tt0088763",3
"tt0088763",6
"tt0088763",23
"tt1816657",1
"tt1816657",3
"tt1816657",23
"tt1212436",6
"tt1212436",22
"tt0101393",1
"tt0101393",7
"tt0101393",9
"tt0112442",1
"tt0112442",6
"tt0112442",7
"tt2350892",1
"tt2350892",7
"tt2350892",9
"tt0047849",9
"tt0047849",26
"tt0047849",28
"tt0094701",15
"tt0094701",26
"tt0103759",7
"tt0103759",9
"tt0307987",6
"tt0307987",7
"tt0307987",9
"tt1284575",6
"tt0069762",7
"tt0069762",9
"tt0215545",6
"tt0215545",9
"tt0215545",16
"tt0072684",3
"tt0072684",9
"tt0072684",22
"tt0101410",6
"tt0101410",9
"tt0101410",18
"tt0264395",1
"tt0264395",7
"tt0264395",9
"tt0103772",9
"tt0103772",18
"tt0103772",26
"tt0115632",5
"tt0115632",9
"tt0096895",1
"tt0096895",3
"tt2316821",1
"tt0041162",1
"tt0041162",3
"tt0041162",7
"tt0372784",1
"tt0372784",3
"tt0112462",1
"tt0112462",3
"tt0112462",11
"tt0103776",1
"tt0058946",9
"tt0058946",27
"tt0357470",9
"tt0357470",22
"tt0357470",6
"tt2359006",1
"tt0163978",3
"tt0163978",9
"tt0163978",26
"tt0118689",6
"tt0118689",10
"tt2125435",9
"tt2125435",11
"tt0115641",4
"tt0115641",3
"tt0115641",6
"tt1532503",6
"tt1532503",9
"tt1532503",22
"tt1595680",9
"tt1595680",11
"tt1595680",15
"tt0120601",6
"tt0120601",9
"tt0120601",11
"tt0078841",6
"tt0078841",9
"tt0247199",9
"tt0120603",9
"tt0120603",14
"tt0120603",15
"tt0889169",24
"tt1412386",6
"tt1412386",9
"tt0094737",6
"tt0094737",9
"tt0094737",11
"tt0095250",1
"tt0095250",3
"tt0095250",9
"tt0319061",3
"tt0319061",9
"tt0319061",11
"tt0118715",6
"tt0118715",7
"tt0402850",6
"tt0402850",7
"tt0402850",9
"tt0056869",15
"tt0188453",6
"tt0188453",7
"tt0188453",26
"tt0387877",7
"tt0387877",9
"tt0387877",18
"tt0096933",1
"tt0096933",7
"tt0096933",26
"tt0462200",9
"tt0462200",16
"tt0947798",9
"tt0947798",26
"tt0120611",1
"tt0120611",15
"tt0187738",1
"tt0187738",15
"tt0187738",23
"tt0083658",23
"tt0083658",26
"tt0359013",1
"tt0359013",3
"tt0359013",11
"tt0878804",5
"tt0878804",9
"tt0878804",25
"tt2132285",5
"tt2132285",7
"tt2132285",9
"tt0115710",7
"tt0115710",9
"tt0115710",26
"tt4226410",24
"tt4226410",9
"tt0221027",5
"tt0221027",7
"tt0221027",9
"tt1120985",9
"tt1120985",22
"tt0090756",7
"tt0090756",9
"tt0090756",18
"tt0080455",1
"tt0080455",6
"tt0080455",7
"tt0106447",9
"tt0082089",7
"tt0082089",9
"tt0082089",26
"tt0106453",9
"tt0106453",22
"tt0106453",26
"tt1729637",22
"tt0460627",6
"tt0460627",7
"tt0460627",9
"tt0099165",6
"tt0099165",9
"tt0061418",5
"tt0061418",7
"tt0061418",9
"tt0118749",9
"tt1037705",1
"tt1037705",3
"tt1037705",9
"tt0144117",1
"tt0144117",7
"tt0144117",26
"tt0115734",6
"tt0115734",7
"tt0115734",9
"tt0115736",7
"tt0115736",9
"tt0115736",22
"tt1038919",1
"tt1038919",6
"tt1038919",22
"tt0258463",1
"tt0258463",18
"tt0258463",26
"tt0372183",1
"tt0372183",26
"tt0440963",1
"tt0440963",26
"tt0362478",9
"tt0362478",18
"tt0362478",23
"tt0112573",5
"tt0112573",9
"tt0112573",14
"tt0088846",9
"tt0088846",23
"tt1157601",1
"tt1157601",7
"tt1157601",9
"tt0118771",1
"tt0118771",7
"tt0118771",9
"tt0088847",6
"tt0088847",9
"tt0078902",6
"tt0078902",9
"tt0078902",25
"tt0393109",7
"tt0393109",9
"tt0393109",18
"tt1478338",6
"tt1478338",22
"tt0163988",9
"tt0163988",26
"tt0092699",6
"tt0092699",9
"tt0092699",22
"tt0115759",1
"tt0115759",3
"tt0115759",6
"tt0913425",9
"tt0913425",22
"tt0913425",26
"tt0844286",3
"tt0844286",6
"tt0844286",9
"tt0315327",6
"tt0315327",9
"tt0315327",11
"tt0118276",1
"tt0118276",9
"tt0118276",11
"tt0094812",6
"tt0094812",22
"tt0094812",25
"tt1462758",9
"tt1462758",18
"tt1462758",26
"tt1126591",9
"tt1126591",16
"tt1126591",22
"tt0887883",6
"tt0887883",7
"tt0887883",9
"tt0307879",6
"tt0307879",9
"tt0307879",22
"tt0289879",23
"tt0289879",26
"tt0115798",6
"tt0115798",9
"tt2387411",9
"tt0379725",5
"tt0379725",7
"tt0379725",9
"tt0074285",15
"tt1216475",4
"tt1216475",3
"tt1216475",6
"tt0034583",9
"tt0034583",22
"tt0034583",27
"tt0795351",15
"tt0795351",18
"tt0795351",26
"tt0112641",5
"tt0112641",7
"tt0112641",9
"tt0162222",3
"tt0162222",9
"tt0162222",22
"tt0264464",5
"tt0264464",7
"tt0264464",9
"tt0327554",1
"tt0173716",6
"tt0173716",7
"tt0173716",26
"tt1477837",6
"tt0199197",9
"tt0199197",18
"tt0199197",22
"tt0209958",15
"tt0209958",23
"tt0209958",26
"tt0337921",1
"tt0337921",7
"tt0337921",9
"tt1488555",6
"tt0824747",7
"tt0824747",9
"tt0824747",18
"tt0402910",1
"tt0402910",7
"tt0402910",9
"tt0056923",6
"tt0056923",18
"tt0056923",22
"tt0160127",1
"tt0160127",3
"tt0160127",6
"tt0118842",6
"tt0118842",9
"tt0118842",22
"tt0221069",15
"tt0221069",18
"tt0221069",26
"tt0175526",15
"tt0175526",18
"tt0175526",26
"tt0071315",9
"tt0071315",18
